id,url,name,about,is_superhost,thumbnail_url,picture_url,verifications,location,neighbourhood,since,response_time,response_rate,acceptance_rate,listings_count,total_listings_count,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms
61700428,https://www.airbnb.com/users/show/61700428,Adam,"Guest's satisfaction and happiness is much more important than money!
顾客的满意远比赚钱重要!我的初衷是帮助更多的人､服务更多的人~
We provide emotional comfort more than physically comfortable
我们提供的情感舒适度超过身体舒适度.",False,https://a0.muscache.com/im/pictures/user/fcc2b09f-611c-457c-828b-43336a05dfae.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/fcc2b09f-611c-457c-828b-43336a05dfae.jpg?aki_policy=profile_x_medium,"['email', 'phone']","Albany, NY",Unknown,2016-03-05,within a few hours,100.0,90.0,2,2,2,0,2,0
36438637,https://www.airbnb.com/users/show/36438637,Chad,no about,False,https://a0.muscache.com/im/pictures/user/b3382f39-e130-4af4-b2b6-b755d0a79db8.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/b3382f39-e130-4af4-b2b6-b755d0a79db8.jpg?aki_policy=profile_x_medium,"['email', 'phone']","Albany, NY",Unknown,2015-06-22,within an hour,100.0,95.0,15,15,4,0,4,0
69729286,https://www.airbnb.com/users/show/69729286,Musab,no about,False,https://a0.muscache.com/im/pictures/user/5507d01f-fe58-4066-9900-5de519b5dfd6.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/5507d01f-fe58-4066-9900-5de519b5dfd6.jpg?aki_policy=profile_x_medium,"['email', 'phone']","Albany, NY",Capitol Hill,2016-05-01,within an hour,100.0,100.0,2,2,2,0,2,0
1364123,https://www.airbnb.com/users/show/1364123,Akhilesh,"Nature loving person with a major focus on health, cleanliness and education. I am from India,  but lived in NY since 2001. I have a passion for sports and love traveling and exploring new parts of the US. I enjoy long walks, jogging, hiking, yoga and meditation. My goal for Airbnb guests is to offer the very best stay experience via ""Immaculately Clean - Home Away From Home""  at a reasonable price.",False,https://a0.muscache.com/im/pictures/user/32770a54-86fc-4904-9d34-74fc47588167.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/32770a54-86fc-4904-9d34-74fc47588167.jpg?aki_policy=profile_x_medium,"['email', 'phone']","Albany, NY",Unknown,2011-11-02,within an hour,100.0,100.0,1,5,1,1,0,0
36438637,https://www.airbnb.com/users/show/36438637,Chad,no about,False,https://a0.muscache.com/im/pictures/user/b3382f39-e130-4af4-b2b6-b755d0a79db8.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/b3382f39-e130-4af4-b2b6-b755d0a79db8.jpg?aki_policy=profile_x_medium,"['email', 'phone']","Albany, NY",Unknown,2015-06-22,within an hour,100.0,95.0,15,15,4,0,4,0
4259750,https://www.airbnb.com/users/show/4259750,Peter,"I was born in Poland but grew up in NY and now i'm back in NY after grad school in Europe.  I love sailing, flying gliders, hiking, hammocks, cycling, photography, travel, minimalism, tennis,  podcasts, and my KJV.  I started traveling airbnb during my time in Europe and now I’m a host in NY! 
Listings:
airbnb.com/h/38eden
airbnb.com/h/53eden
airbnb.com/h/55eden
airbnb.com/h/18home
airbnb.com/h/24miller
airbnb.com/h/24eden
airbnb.com/h/433western",True,https://a0.muscache.com/im/pictures/user/cca29440-809e-4dcd-a844-221898102fa5.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/cca29440-809e-4dcd-a844-221898102fa5.jpg?aki_policy=profile_x_medium,"['email', 'phone']","Albany, NY",Pine Hills,2012-11-27,within an hour,94.0,88.0,9,14,9,9,0,0
89705052,https://www.airbnb.com/users/show/89705052,Share,"We are fully vaccinated for Covid-19 with boosters. (Mother and daughter) Please note: Bad reviews are from guests breaking my house rules, not reading the listing description about my room spaces and amenities offered. Also, from racists, haters and misogynistic guests.
We are well traveled African American women and we take pride in our culture and ancestors. It is important to be our authentic selves, without being washed.  My home has ethnic food smells, flags, sarcastic signs, Black art, social justice signs and visiable security cameras. Yes! 5 out of eight letters of my name spell SHARE :) I was a home school/unschooled parent. (Florida and Nevada) My daughter graduated from University At Albany with honors. Class of 2020... and recently graduated with a master's degree.  Class of 2021. She is currently a PhD student at Stony Brook University.  We are hosts and guests of Airbnb. I am originally from Chicago and The Bronx. I am a non smoker and non drinker. We traveled to many states on a budget, including Alaska and Hawaii. We also traveled to: Canada, Mexico, Caribbean and Europe.  We loved Victoria, BC, Montreal, QC, Dublin, Ireland, Paris, France and Brussels, Belgium the most.  I love older homes with character and history. I am a proud owner of a ""Turn Of A Century""  Classic American Foursquare. unique home. (1900)  Captain Arthur William Brandt was one of the previous owners. I had bought my house. in 1999.  We are passionate about social justice issues. We lived in Miami, Orlando/Winter Park, Las Vegas, Montreal and Dominican Republic. I enjoy watching home improvement shows and documentaries. I love to shop at thrift stores for rare, cultured and vintage finds. We love the beauty and peacefulness of nature. We love musicals and ballets. If your last name is (military) Brandt, (pharmacy) Schneible or (nursing)Wagenbaugh, (previous owners) I will offer you 25% off your daily rate. (Not by marriage) Check your Ancestry, Myheritage and 23andme accounts, we maybe related. ;)  I am 9% England/Wales, 3% South Asian  1% Irish, 3% Norway,  1% Native American, 1% Iberian Peninsula and you can guess the rest...lol...(African)  Maternal Melungeon ancestry.  We share paternal DNA with Ramesses lll...Egyptian royalty and my maternal 2nd great grandfather is Little Wyatt Tate and my maternal 4th great grandfather is Judge/senator Charles Tait of Georgia and Alabama... My daughter is 27% European. Caribbean roots . (Jamaica) (DNA)  *Take the test.",True,https://a0.muscache.com/im/pictures/user/User/original/31d87914-56b6-462c-a392-c5041d7641b0.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User/original/31d87914-56b6-462c-a392-c5041d7641b0.jpeg?aki_policy=profile_x_medium,"['email', 'phone']","Albany, NY",Pine Hills,2016-08-13,within an hour,100.0,100.0,4,9,4,0,4,0
5691268,https://www.airbnb.com/users/show/5691268,Elizabeth,I'm Irish living in Albany NY.  I have 3 grown up kids.  I have 2 chihuauas    I am visiting Toronto to meet my sister and nephew who are visiting from Ireland.  Don't smoke or drink just love my dogs!,True,https://a0.muscache.com/im/pictures/user/d34e69f3-8c6e-48e7-b3f5-c2d42939675a.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/d34e69f3-8c6e-48e7-b3f5-c2d42939675a.jpg?aki_policy=profile_x_medium,"['email', 'phone']","Albany, NY",Unknown,2013-03-30,within an hour,98.0,92.0,2,3,2,2,0,0
61700428,https://www.airbnb.com/users/show/61700428,Adam,"Guest's satisfaction and happiness is much more important than money!
顾客的满意远比赚钱重要!我的初衷是帮助更多的人､服务更多的人~
We provide emotional comfort more than physically comfortable
我们提供的情感舒适度超过身体舒适度.",False,https://a0.muscache.com/im/pictures/user/fcc2b09f-611c-457c-828b-43336a05dfae.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/fcc2b09f-611c-457c-828b-43336a05dfae.jpg?aki_policy=profile_x_medium,"['email', 'phone']","Albany, NY",Unknown,2016-03-05,within a few hours,100.0,90.0,2,2,2,0,2,0
36438637,https://www.airbnb.com/users/show/36438637,Chad,no about,False,https://a0.muscache.com/im/pictures/user/b3382f39-e130-4af4-b2b6-b755d0a79db8.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/b3382f39-e130-4af4-b2b6-b755d0a79db8.jpg?aki_policy=profile_x_medium,"['email', 'phone']","Albany, NY",Unknown,2015-06-22,within an hour,100.0,95.0,15,15,4,0,4,0
4259750,https://www.airbnb.com/users/show/4259750,Peter,"I was born in Poland but grew up in NY and now i'm back in NY after grad school in Europe.  I love sailing, flying gliders, hiking, hammocks, cycling, photography, travel, minimalism, tennis,  podcasts, and my KJV.  I started traveling airbnb during my time in Europe and now I’m a host in NY! 
Listings:
airbnb.com/h/38eden
airbnb.com/h/53eden
airbnb.com/h/55eden
airbnb.com/h/18home
airbnb.com/h/24miller
airbnb.com/h/24eden
airbnb.com/h/433western",True,https://a0.muscache.com/im/pictures/user/cca29440-809e-4dcd-a844-221898102fa5.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/cca29440-809e-4dcd-a844-221898102fa5.jpg?aki_policy=profile_x_medium,"['email', 'phone']","Albany, NY",Pine Hills,2012-11-27,within an hour,94.0,88.0,9,14,9,9,0,0
15223767,https://www.airbnb.com/users/show/15223767,Ed,no about,True,https://a0.muscache.com/im/pictures/user/87babb57-4dfb-4efd-a995-c781347c9d04.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/87babb57-4dfb-4efd-a995-c781347c9d04.jpg?aki_policy=profile_x_medium,"['email', 'phone', 'work_email']","Albany, NY",Unknown,2014-05-07,within an hour,100.0,92.0,3,3,3,0,3,0
36438637,https://www.airbnb.com/users/show/36438637,Chad,no about,False,https://a0.muscache.com/im/pictures/user/b3382f39-e130-4af4-b2b6-b755d0a79db8.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/b3382f39-e130-4af4-b2b6-b755d0a79db8.jpg?aki_policy=profile_x_medium,"['email', 'phone']","Albany, NY",Unknown,2015-06-22,within an hour,100.0,95.0,15,15,4,0,4,0
67171774,https://www.airbnb.com/users/show/67171774,Michael And Flerida,"Michael and I are foodies. We love cooking and sharing what we cook with our family and friends. 
We love dancing and music, but most importantly we love a peaceful home.
In my travels, especially business travel, I appreciated most my accommodations where it was clean, where I can feel as though I am home and the host took careful care to my need for peace and privacy. 
In our properties we love to give people the space to feel their privacy is considered, and enough interaction to make them feel as though they are home. We are Inn owners, therefore hosting is something we enjoy. 
Between Michael and I we have 5 sons. From ages 18 thru 33. All with the spirit of service.",True,https://a0.muscache.com/im/pictures/user/30c41259-7716-4a81-9764-b31e8c03738e.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/30c41259-7716-4a81-9764-b31e8c03738e.jpg?aki_policy=profile_x_medium,"['email', 'phone']","Stamford, NY",Unknown,2016-04-14,within an hour,100.0,100.0,1,1,1,1,0,0
4259750,https://www.airbnb.com/users/show/4259750,Peter,"I was born in Poland but grew up in NY and now i'm back in NY after grad school in Europe.  I love sailing, flying gliders, hiking, hammocks, cycling, photography, travel, minimalism, tennis,  podcasts, and my KJV.  I started traveling airbnb during my time in Europe and now I’m a host in NY! 
Listings:
airbnb.com/h/38eden
airbnb.com/h/53eden
airbnb.com/h/55eden
airbnb.com/h/18home
airbnb.com/h/24miller
airbnb.com/h/24eden
airbnb.com/h/433western",True,https://a0.muscache.com/im/pictures/user/cca29440-809e-4dcd-a844-221898102fa5.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/cca29440-809e-4dcd-a844-221898102fa5.jpg?aki_policy=profile_x_medium,"['email', 'phone']","Albany, NY",Pine Hills,2012-11-27,within an hour,94.0,88.0,9,14,9,9,0,0
65414985,https://www.airbnb.com/users/show/65414985,James,"I am an architect, often traveling with my family. I enjoy the outdoors, cooking, and exploring new places.",True,https://a0.muscache.com/im/pictures/user/d810a2d7-29a5-4409-a0ef-47cb41c419f8.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/d810a2d7-29a5-4409-a0ef-47cb41c419f8.jpg?aki_policy=profile_x_medium,"['email', 'phone', 'work_email']","Albany, NY",Capitol Hill,2016-04-01,within an hour,100.0,94.0,2,2,2,2,0,0
98744672,https://www.airbnb.com/users/show/98744672,Bela,"My name is Bela Schuch, I am manager of The Inn at South Lake  here in Albany , we hope you enjoy your stay with us at the Inn Thank you !",True,https://a0.muscache.com/im/pictures/user/eccd4f9b-870c-4c2b-ae97-3fb7f5feb710.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/eccd4f9b-870c-4c2b-ae97-3fb7f5feb710.jpg?aki_policy=profile_x_medium,"['email', 'phone', 'work_email']","Albany, NY",Pine Hills,2016-10-08,within an hour,100.0,98.0,8,8,8,2,6,0
135717458,https://www.airbnb.com/users/show/135717458,Chad,no about,True,https://a0.muscache.com/im/pictures/user/d6bee956-7782-4538-a6a1-ec4d4931841e.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/d6bee956-7782-4538-a6a1-ec4d4931841e.jpg?aki_policy=profile_x_medium,"['email', 'phone']","Gloversville, NY",Unknown,2017-06-18,within an hour,100.0,95.0,15,15,3,0,3,0
98744672,https://www.airbnb.com/users/show/98744672,Bela,"My name is Bela Schuch, I am manager of The Inn at South Lake  here in Albany , we hope you enjoy your stay with us at the Inn Thank you !",True,https://a0.muscache.com/im/pictures/user/eccd4f9b-870c-4c2b-ae97-3fb7f5feb710.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/eccd4f9b-870c-4c2b-ae97-3fb7f5feb710.jpg?aki_policy=profile_x_medium,"['email', 'phone', 'work_email']","Albany, NY",Pine Hills,2016-10-08,within an hour,100.0,98.0,8,8,8,2,6,0
4259750,https://www.airbnb.com/users/show/4259750,Peter,"I was born in Poland but grew up in NY and now i'm back in NY after grad school in Europe.  I love sailing, flying gliders, hiking, hammocks, cycling, photography, travel, minimalism, tennis,  podcasts, and my KJV.  I started traveling airbnb during my time in Europe and now I’m a host in NY! 
Listings:
airbnb.com/h/38eden
airbnb.com/h/53eden
airbnb.com/h/55eden
airbnb.com/h/18home
airbnb.com/h/24miller
airbnb.com/h/24eden
airbnb.com/h/433western",True,https://a0.muscache.com/im/pictures/user/cca29440-809e-4dcd-a844-221898102fa5.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/cca29440-809e-4dcd-a844-221898102fa5.jpg?aki_policy=profile_x_medium,"['email', 'phone']","Albany, NY",Pine Hills,2012-11-27,within an hour,94.0,88.0,9,14,9,9,0,0
152762198,https://www.airbnb.com/users/show/152762198,Allen,"Hi my name is Allen. I am an Albany native. I enjoy working out, playing basketball and have a passion for good food. I hope anyone staying here will enjoy the space as much as I do. ",True,https://a0.muscache.com/im/pictures/user/4b2545af-2a93-4e42-84e9-e95579a9d9c2.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/4b2545af-2a93-4e42-84e9-e95579a9d9c2.jpg?aki_policy=profile_x_medium,"['email', 'phone']","Albany, NY",Pine Hills,2017-09-30,within an hour,100.0,99.0,9,17,9,9,0,0
135717458,https://www.airbnb.com/users/show/135717458,Chad,no about,True,https://a0.muscache.com/im/pictures/user/d6bee956-7782-4538-a6a1-ec4d4931841e.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/d6bee956-7782-4538-a6a1-ec4d4931841e.jpg?aki_policy=profile_x_medium,"['email', 'phone']","Gloversville, NY",Unknown,2017-06-18,within an hour,100.0,95.0,15,15,3,0,3,0
135717458,https://www.airbnb.com/users/show/135717458,Chad,no about,True,https://a0.muscache.com/im/pictures/user/d6bee956-7782-4538-a6a1-ec4d4931841e.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/d6bee956-7782-4538-a6a1-ec4d4931841e.jpg?aki_policy=profile_x_medium,"['email', 'phone']","Gloversville, NY",Unknown,2017-06-18,within an hour,100.0,95.0,15,15,3,0,3,0
98744672,https://www.airbnb.com/users/show/98744672,Bela,"My name is Bela Schuch, I am manager of The Inn at South Lake  here in Albany , we hope you enjoy your stay with us at the Inn Thank you !",True,https://a0.muscache.com/im/pictures/user/eccd4f9b-870c-4c2b-ae97-3fb7f5feb710.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/eccd4f9b-870c-4c2b-ae97-3fb7f5feb710.jpg?aki_policy=profile_x_medium,"['email', 'phone', 'work_email']","Albany, NY",Pine Hills,2016-10-08,within an hour,100.0,98.0,8,8,8,2,6,0
108848737,https://www.airbnb.com/users/show/108848737,Jake,"Hi,

My name is Jake. I moved to Albany, NY after graduating college. I love adventures and nature and you can find me in the woods nearly every day walking my energetic dogs. I try to stay fit by lifting and training Brazilian Jiu-Jitsu and the occasional yoga session. I look forward to being your host.

Jake",True,https://a0.muscache.com/im/pictures/user/07e04db8-90ed-4050-81b6-b1b5e7fee275.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/07e04db8-90ed-4050-81b6-b1b5e7fee275.jpg?aki_policy=profile_x_medium,"['email', 'phone']","Albany, NY",Unknown,2016-12-28,within an hour,100.0,85.0,3,3,2,2,0,0
156446839,https://www.airbnb.com/users/show/156446839,Domini,My husband and I love to travel. I love baking. I work and then relax. Lived in NYC  now enjoying the suburb living. Love this neighborhood although its peaceful is close to the nicest pubs and restaurants in the area.,False,https://a0.muscache.com/im/pictures/user/6a79e4e3-6330-4894-ab72-dae8295bda70.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/6a79e4e3-6330-4894-ab72-dae8295bda70.jpg?aki_policy=profile_x_medium,"['email', 'phone']","Albany, NY",Unknown,2017-10-27,within a day,50.0,63.0,1,4,1,0,1,0
98744672,https://www.airbnb.com/users/show/98744672,Bela,"My name is Bela Schuch, I am manager of The Inn at South Lake  here in Albany , we hope you enjoy your stay with us at the Inn Thank you !",True,https://a0.muscache.com/im/pictures/user/eccd4f9b-870c-4c2b-ae97-3fb7f5feb710.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/eccd4f9b-870c-4c2b-ae97-3fb7f5feb710.jpg?aki_policy=profile_x_medium,"['email', 'phone', 'work_email']","Albany, NY",Pine Hills,2016-10-08,within an hour,100.0,98.0,8,8,8,2,6,0
108848737,https://www.airbnb.com/users/show/108848737,Jake,"Hi,

My name is Jake. I moved to Albany, NY after graduating college. I love adventures and nature and you can find me in the woods nearly every day walking my energetic dogs. I try to stay fit by lifting and training Brazilian Jiu-Jitsu and the occasional yoga session. I look forward to being your host.

Jake",True,https://a0.muscache.com/im/pictures/user/07e04db8-90ed-4050-81b6-b1b5e7fee275.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/07e04db8-90ed-4050-81b6-b1b5e7fee275.jpg?aki_policy=profile_x_medium,"['email', 'phone']","Albany, NY",Unknown,2016-12-28,within an hour,100.0,85.0,3,3,2,2,0,0
9666970,https://www.airbnb.com/users/show/9666970,Janet,"Born in Philly, long-term expat in China, serious caffeine addict, now settled in the prettiest, most convenient neighborhood in the New York's kinda-sleepy capital.   My favorite kind of travel is the kind where I see my old friends, meet new ones, and wander around listening to the locals talking. 
",True,https://a0.muscache.com/im/pictures/user/34f7723c-1cdd-4983-935a-152902bc4613.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/34f7723c-1cdd-4983-935a-152902bc4613.jpg?aki_policy=profile_x_medium,"['email', 'phone']","Albany, NY",Unknown,2013-10-27,within a day,79.0,79.0,1,1,1,1,0,0
31757246,https://www.airbnb.com/users/show/31757246,Leiba,I'm a person who loves to travel and enjoys spending time learning about other cultures..,False,https://a0.muscache.com/im/pictures/user/7967d895-5fe9-4744-bfb3-224bb269ac95.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/7967d895-5fe9-4744-bfb3-224bb269ac95.jpg?aki_policy=profile_x_medium,"['email', 'phone']","Albany, NY",Unknown,2015-04-22,within a day,50.0,100.0,2,4,1,0,1,0
6833937,https://www.airbnb.com/users/show/6833937,Farah,"I enjoy yoga, cooking and nutrition, design, and the natural world. I am a therapist and public health professional and have spent a lot of time living and working abroad. ",False,https://a0.muscache.com/im/pictures/user/4c049722-5d00-45c7-a8c4-2c02649e2e5f.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/4c049722-5d00-45c7-a8c4-2c02649e2e5f.jpg?aki_policy=profile_x_medium,"['email', 'phone']","Albany, NY",Unknown,2013-06-10,within an hour,100.0,98.0,1,1,1,1,0,0
